system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000016,"{type=[[0.0, 924.7960784313725]]}","{type=[[0.0, 923.7960784313726], [1.0, 1.0]]}","{type=[[0.0, 923.7960784313726], [1.0, 1.0]]}","{type=[[0.0, 109.63529411764708], [1.0, 815.1607843137256]]}","{type=[[0.0, 109.63529411764708], [1.0, 815.1607843137256]]}","{type=[[0.0, 110.63529411764708], [1.0, 814.1607843137257]]}",520161952,"{type=[[0.0, 924.7960784313725]]}","{type=[[0.0, 924.7960784313725]]}","{type=[[0.0, 924.7960784313725]]}",
0000000000000000001a,"{type=[[0.0, 915.7254901960783]]}","{type=[[0.0, 915.7254901960783]]}","{type=[[0.0, 915.7254901960783]]}","{type=[[0.0, 426.61568627450964], [1.0, 489.10980392156864]]}","{type=[[0.0, 426.61568627450964], [1.0, 489.10980392156864]]}","{type=[[0.0, 426.61568627450964], [1.0, 489.10980392156864]]}",519787962,"{type=[[0.0, 915.7254901960783]]}","{type=[[0.0, 915.7254901960783]]}","{type=[[0.0, 915.7254901960783]]}",
0000000000000000001b,"{type=[[0.0, 909.7686274509805]]}","{type=[[0.0, 907.7686274509806], [1.0, 2.0]]}","{type=[[0.0, 907.7686274509806], [1.0, 2.0]]}","{type=[[0.0, 34.8], [1.0, 874.9686274509804]]}","{type=[[0.0, 34.8], [1.0, 874.9686274509804]]}","{type=[[0.0, 36.8], [1.0, 872.9686274509804]]}",519263071,"{type=[[0.0, 909.7686274509805]]}","{type=[[0.0, 909.7686274509805]]}","{type=[[0.0, 909.7686274509805]]}",
0000000000000000001c,"{type=[[0.0, 912.0196078431372]]}","{type=[[0.0, 912.0196078431372]]}","{type=[[0.0, 912.0196078431372]]}","{type=[[1.0, 912.0196078431372]]}","{type=[[1.0, 912.0196078431372]]}","{type=[[1.0, 912.0196078431372]]}",519328665,"{type=[[0.0, 912.0196078431372]]}","{type=[[0.0, 912.0196078431372]]}","{type=[[0.0, 912.0196078431372]]}",
0000000000000000001d,"{type=[[0.0, 909.5411764705889]]}","{type=[[0.0, 907.5411764705884], [1.0, 2.0]]}","{type=[[0.0, 907.5411764705884], [1.0, 2.0]]}","{type=[[1.0, 909.5411764705889]]}","{type=[[1.0, 909.5411764705889]]}","{type=[[0.0, 2.0], [1.0, 907.5411764705884]]}",519335222,"{type=[[0.0, 909.5411764705889]]}","{type=[[0.0, 909.5411764705889]]}","{type=[[0.0, 909.5411764705889]]}",
0000000000000000001e,"{type=[[0.0, 914.1137254901961]]}","{type=[[0.0, 914.1137254901961]]}","{type=[[0.0, 914.1137254901961]]}","{type=[[0.0, 802.4862745098038], [1.0, 111.62745098039215]]}","{type=[[0.0, 802.4862745098038], [1.0, 111.62745098039215]]}","{type=[[0.0, 802.4862745098038], [1.0, 111.62745098039215]]}",519394260,"{type=[[0.0, 914.1137254901961]]}","{type=[[0.0, 914.1137254901961]]}","{type=[[0.0, 914.1137254901961]]}",
0000000000000000001f,"{type=[[0.0, 911.5568627450984]]}","{type=[[0.0, 911.5568627450984]]}","{type=[[0.0, 911.5568627450984]]}","{type=[[0.0, 902.8274509803925], [1.0, 8.729411764705882]]}","{type=[[0.0, 902.8274509803925], [1.0, 8.729411764705882]]}","{type=[[0.0, 902.8274509803925], [1.0, 8.729411764705882]]}",519177749,"{type=[[0.0, 911.5568627450984]]}","{type=[[0.0, 911.5568627450984]]}","{type=[[0.0, 911.5568627450984]]}",
00000000000000000020,"{type=[[0.0, 883.1529411764706]]}","{type=[[0.0, 883.1529411764706]]}","{type=[[0.0, 883.1529411764706]]}","{type=[[0.0, 3.0], [1.0, 880.1529411764707]]}","{type=[[0.0, 3.0], [1.0, 880.1529411764707]]}","{type=[[0.0, 3.0], [1.0, 880.1529411764707]]}",517406233,"{type=[[0.0, 883.1529411764706]]}","{type=[[0.0, 883.1529411764706]]}","{type=[[0.0, 883.1529411764706]]}",
00000000000000000021,"{type=[[0.0, 889.0431372549018]]}","{type=[[0.0, 889.0431372549018]]}","{type=[[0.0, 889.0431372549018]]}","{type=[[0.0, 16.83529411764706], [1.0, 872.2078431372548]]}","{type=[[0.0, 16.83529411764706], [1.0, 872.2078431372548]]}","{type=[[0.0, 16.83529411764706], [1.0, 872.2078431372548]]}",517609637,"{type=[[0.0, 889.0431372549018]]}","{type=[[0.0, 889.0431372549018]]}","{type=[[0.0, 889.0431372549018]]}",
0000000000000000005b,"{type=[[0.0, 899.8666666666661]]}","{type=[[0.0, 899.8666666666661]]}","{type=[[0.0, 899.8666666666661]]}","{type=[[0.0, 89.62352941176472], [1.0, 810.2431372549016]]}","{type=[[0.0, 89.62352941176472], [1.0, 810.2431372549016]]}","{type=[[0.0, 85.62352941176472], [1.0, 814.2431372549016]]}",518436330,"{type=[[0.0, 899.8666666666661]]}","{type=[[0.0, 895.8666666666661], [1.0, 4.0]]}","{type=[[0.0, 895.8666666666661], [1.0, 4.0]]}",
